latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.461,38.7808,311.1,1.9,1.3,2024-01-01,0035,Aqua,MODIS,82,61.03,271.2,40.5,N,2
48.3945,25.4734,308.6,1.1,1,2024-01-03,1129,Aqua,MODIS,67,61.03,280.9,13.3,D,0
48.3969,25.4876,305.8,1.1,1,2024-01-03,1129,Aqua,MODIS,62,61.03,280.3,11.1,D,0
45.1363,35.4108,307.5,1.1,1,2024-01-26,1057,Aqua,MODIS,57,61.03,278.3,12,D,0
45.1385,35.424,316.1,1.1,1,2024-01-26,1057,Aqua,MODIS,58,61.03,278.5,19.4,D,0
48.4093,22.5443,303.2,1.1,1.1,2024-01-31,0914,Terra,MODIS,55,61.03,274.1,11.6,D,0
47.1381,31.7882,304.3,1.1,1,2024-01-31,1107,Aqua,MODIS,56,61.03,278.6,9.7,D,0
47.117,31.816,305.7,1.1,1,2024-01-31,1107,Aqua,MODIS,58,61.03,278.3,10.7,D,0
47.5672,31.3878,301.3,1.1,1,2024-01-31,1108,Aqua,MODIS,46,61.03,277.9,9,D,0
47.6215,31.3316,300.7,1.1,1,2024-01-31,1108,Aqua,MODIS,38,61.03,278,8.4,D,0
45.457,29.405,301.5,1.1,1.1,2024-02-05,1117,Aqua,MODIS,36,61.03,285.3,6.5,D,0
45.4582,29.2189,303.5,1.2,1.1,2024-02-05,1117,Aqua,MODIS,56,61.03,282,7.9,D,0
45.4557,29.2047,326.5,1.2,1.1,2024-02-05,1117,Aqua,MODIS,84,61.03,284.2,31.7,D,0
46.3348,30.0125,310,1.1,1,2024-02-05,1117,Aqua,MODIS,53,61.03,280.5,11.3,D,0
46.3326,29.9991,321.7,1.1,1,2024-02-05,1117,Aqua,MODIS,71,61.03,281.6,22.3,D,0
46.3505,29.9928,316.1,1.1,1,2024-02-05,1117,Aqua,MODIS,50,61.03,280.3,15.9,D,0
47.8681,33.4428,301.5,1.5,1.2,2024-02-06,0050,Aqua,MODIS,41,61.03,271.8,17.1,N,2
45.7176,29.7044,311.1,1,1,2024-02-06,0824,Terra,MODIS,54,61.03,282.1,11,D,0
45.7265,29.7068,308.3,1,1,2024-02-06,0824,Terra,MODIS,48,61.03,282.6,8.9,D,0
48.7118,25.1466,304,1.1,1.1,2024-02-07,0903,Terra,MODIS,58,61.03,280,10.3,D,0
48.7092,25.1614,304.7,1.1,1.1,2024-02-07,0903,Terra,MODIS,60,61.03,280.2,10.8,D,0
47.2482,33.4852,314,1.1,1,2024-02-07,1102,Aqua,MODIS,74,61.03,284.4,15.8,D,0
46.5938,33.1493,347.1,1.1,1.1,2024-02-07,1102,Aqua,MODIS,95,61.03,290.4,67.1,D,0
46.5962,33.1633,335.6,1.1,1.1,2024-02-07,1102,Aqua,MODIS,90,61.03,288,44,D,0
46.5114,33.9341,300.9,1.1,1,2024-02-07,1102,Aqua,MODIS,42,61.03,287.4,4.9,D,0
47.5332,30.0421,322.5,1.4,1.2,2024-02-07,1102,Aqua,MODIS,82,61.03,285.4,35.7,D,0
46.6505,33.1081,305,1.1,1.1,2024-02-07,1102,Aqua,MODIS,46,61.03,287,8.2,D,0
45.4589,29.4155,310.2,1.1,1.1,2024-02-08,1143,Aqua,MODIS,27,61.03,290.6,10.1,D,0
45.4531,29.1236,313.6,1.1,1.1,2024-02-08,1143,Aqua,MODIS,71,61.03,289.1,12.8,D,0
45.4421,29.1118,313.7,1.1,1.1,2024-02-08,1143,Aqua,MODIS,74,61.03,290.2,12.7,D,0
45.4438,29.1259,309.9,1.1,1.1,2024-02-08,1143,Aqua,MODIS,67,61.03,289.3,9.4,D,0
45.4606,29.4299,310.7,1.1,1.1,2024-02-08,1143,Aqua,MODIS,33,61.03,290.2,11.2,D,0
45.4271,29.0939,302.8,1,1,2024-02-10,1127,Aqua,MODIS,54,61.03,288,3.9,D,0
45.4251,29.0812,310.7,1,1,2024-02-10,1127,Aqua,MODIS,70,61.03,288.7,9.1,D,0
45.434,29.1062,301.6,1.3,1.1,2024-02-12,1111,Aqua,MODIS,48,61.03,284.9,6.8,D,0
47.0097,36.0599,301.8,1,1,2024-02-14,1056,Aqua,MODIS,49,61.03,283,5.6,D,0
46.6868,33.9952,309,1.2,1.1,2024-02-14,1056,Aqua,MODIS,68,61.03,272.6,15.9,D,0
48.9351,24.0411,301.3,1.1,1,2024-02-15,1138,Aqua,MODIS,43,61.03,278,7.7,D,0
48.8819,24.1731,300,1.1,1,2024-02-15,1138,Aqua,MODIS,21,61.03,280.3,6.5,D,0
47.0475,35.835,305.7,1.3,1.1,2024-02-17,1121,Aqua,MODIS,62,61.03,280.1,13.2,D,0
48.8911,36.6193,302.7,1.5,1.2,2024-02-17,1122,Aqua,MODIS,53,61.03,278.2,13.2,D,0
48.9296,37.1568,300.6,1.6,1.2,2024-02-17,1122,Aqua,MODIS,37,61.03,276.4,14.6,D,0
48.8892,36.5994,301.3,1.5,1.2,2024-02-17,1122,Aqua,MODIS,43,61.03,278.7,11.8,D,0
48.8952,36.6112,306.8,1.5,1.2,2024-02-17,1122,Aqua,MODIS,64,61.03,278.4,18.8,D,0
47.0269,34.0303,300.2,1.3,1.1,2024-02-21,1050,Aqua,MODIS,29,61.03,274.5,9.7,D,0
47.0236,34.0135,320.3,1.3,1.1,2024-02-21,1050,Aqua,MODIS,80,61.03,276,32.4,D,0
47.0584,35.261,305.3,1.2,1.1,2024-02-21,1050,Aqua,MODIS,61,61.03,277.2,11.4,D,0
47.0577,35.2496,304.4,1.6,1.2,2024-02-22,1131,Aqua,MODIS,59,61.03,286.2,11.6,D,0
47.0595,35.27,318.6,1.6,1.2,2024-02-22,1131,Aqua,MODIS,79,61.03,287.3,32.3,D,0
45.4614,29.4057,306.2,1,1,2024-02-22,1131,Aqua,MODIS,55,61.03,290.7,5.6,D,0
47.194,33.429,312.2,1.3,1.1,2024-02-22,1131,Aqua,MODIS,0,61.03,280.1,16.2,D,0
47.1298,30.8576,300.1,1.1,1,2024-02-22,1131,Aqua,MODIS,29,61.03,287.4,3.8,D,0
47.1847,33.4383,326.5,1.3,1.1,2024-02-22,1131,Aqua,MODIS,64,61.03,281.7,35,D,0
47.0687,35.2476,325.5,1.6,1.2,2024-02-22,1131,Aqua,MODIS,84,61.03,286.2,43.7,D,0
47.0705,35.2679,347.1,1.6,1.2,2024-02-22,1131,Aqua,MODIS,95,61.03,288.7,107.8,D,0
47.0919,30.2824,301.6,1,1,2024-02-22,1131,Aqua,MODIS,48,61.03,289.4,4.3,D,0
47.4417,30.6328,301.8,1.1,1,2024-02-22,1131,Aqua,MODIS,49,61.03,288.6,4.5,D,0
47.9112,30.412,309.3,1,1,2024-02-22,1131,Aqua,MODIS,68,61.03,284.9,10.5,D,0
46.0403,29.3074,305.7,1,1,2024-02-22,1131,Aqua,MODIS,62,61.03,291,5.8,D,0
45.9571,29.1803,301.8,1,1,2024-02-22,1131,Aqua,MODIS,49,61.03,290.2,3.3,D,0
47.6799,34.1442,302.4,1.1,1.1,2024-02-23,0825,Terra,MODIS,16,61.03,277.7,7.6,D,2
45.3599,36.4374,326.1,1.6,1.2,2024-02-23,0825,Terra,MODIS,0,61.03,278.5,49.1,D,2
48.364,35.1933,308.4,1.2,1.1,2024-02-23,0825,Terra,MODIS,67,61.03,275.8,16.2,D,0
45.2982,33.6041,312.1,1.2,1.1,2024-02-23,0825,Terra,MODIS,55,61.03,278.3,17,D,0
45.2385,33.6599,301.8,1.2,1.1,2024-02-23,0825,Terra,MODIS,43,61.03,279.6,9.1,D,0
47.6819,34.1661,305,1.1,1.1,2024-02-23,0825,Terra,MODIS,36,61.03,278.6,10.1,D,0
48.196,34.8934,304,1.2,1.1,2024-02-23,0825,Terra,MODIS,58,61.03,274.4,12.2,D,0
48.2053,34.8972,301.5,1.2,1.1,2024-02-23,0825,Terra,MODIS,47,61.03,274.7,10.1,D,0
44.9689,33.7621,348.7,1.2,1.1,2024-02-23,0826,Terra,MODIS,72,61.03,281.3,80.6,D,0
47.7707,38.4516,310.6,1.2,1.1,2024-02-23,1034,Aqua,MODIS,70,61.03,282.4,16.6,D,0
47.8571,38.0727,302.3,1.3,1.1,2024-02-23,1034,Aqua,MODIS,52,61.03,282.1,10,D,0
48.1345,37.6595,300.5,1.3,1.1,2024-02-23,1034,Aqua,MODIS,38,61.03,279.9,8.8,D,0
48.1411,37.6932,307.4,1.3,1.1,2024-02-23,1034,Aqua,MODIS,65,61.03,279.6,15.3,D,2
47.9847,38.0306,301.2,1.3,1.1,2024-02-23,1034,Aqua,MODIS,45,61.03,280.5,9.1,D,0
48.1765,37.8224,348.3,1.3,1.1,2024-02-23,1034,Aqua,MODIS,95,61.03,281.2,89.1,D,0
48.1797,37.8388,343.8,1.3,1.1,2024-02-23,1034,Aqua,MODIS,93,61.03,278.4,76.6,D,0
46.4227,33.8355,307.4,2.2,1.4,2024-02-23,1034,Aqua,MODIS,65,61.03,284.2,28.4,D,0
46.4278,33.8587,302.3,2.2,1.4,2024-02-23,1034,Aqua,MODIS,46,61.03,281.4,18.2,D,0
46.4213,33.8316,305.5,2.2,1.4,2024-02-23,1034,Aqua,MODIS,62,61.03,284.1,24.3,D,0
45.9407,29.157,309,2.6,1.5,2024-02-23,1212,Aqua,MODIS,68,61.03,290.6,29.3,D,0
45.9426,29.1904,323.2,2.6,1.5,2024-02-23,1212,Aqua,MODIS,82,61.03,291,79,D,0
45.6947,28.596,314.7,2,1.4,2024-02-24,0906,Terra,MODIS,65,61.03,286,36.8,D,0
45.7002,28.5717,306.8,2,1.4,2024-02-24,0906,Terra,MODIS,61,61.03,286.5,20.2,D,0
46.8746,30.4462,318.1,1.1,1,2024-02-24,1115,Aqua,MODIS,59,61.03,288.4,18.4,D,0
