latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.5392,45.9788,328.4,1,1,2023-01-01,0713,Terra,MODIS,70,61.03,298.7,16,D,0
16.2814,43.1462,319.4,1.3,1.1,2023-01-16,0741,Terra,MODIS,59,61.03,301.4,7.7,D,0
14.3414,44.34,319.3,1.2,1.1,2023-02-11,0730,Terra,MODIS,47,61.03,306.4,9.4,D,0
15.5651,45.7954,334.6,1,1,2023-02-24,1036,Aqua,MODIS,68,61.03,322.5,7.2,D,2
13.8597,44.1748,320.3,1,1,2023-02-25,0716,Terra,MODIS,52,61.03,305.9,6.4,D,0
13.8584,44.1845,323.1,1,1,2023-02-25,0716,Terra,MODIS,64,61.03,305.8,9.2,D,0
15.5771,45.8044,336.1,1.1,1,2023-03-04,0709,Terra,MODIS,80,61.03,311.1,19.3,D,0
15.5716,45.8038,320.9,1.1,1,2023-03-19,1027,Aqua,MODIS,61,61.03,291.9,10.1,D,0
14.2755,44.326,315.8,1,1,2023-04-02,0720,Terra,MODIS,47,61.03,297.9,7.6,D,2
13.0363,44.8496,332.4,1,1,2023-04-02,0720,Terra,MODIS,56,61.03,308.6,14.9,D,0
13.0933,45.22,322.2,2.7,1.6,2023-04-05,0745,Terra,MODIS,36,61.03,298.7,40.7,D,0
15.286,44.2282,318.7,1.5,1.2,2023-04-12,0736,Terra,MODIS,28,61.03,299.3,10.4,D,2
12.8335,44.8715,305,1.5,1.2,2023-04-12,2311,Aqua,MODIS,63,61.03,293.3,8.6,N,0
14.2948,45.3398,318.3,1.9,1.4,2023-04-24,0737,Terra,MODIS,57,61.03,299.2,16.9,D,0
14.5092,48.8305,313.3,3.4,1.7,2023-04-29,0948,Aqua,MODIS,21,61.03,293.5,36.7,D,0
15.4395,42.6156,311.3,3.8,1.8,2023-05-06,1126,Aqua,MODIS,46,61.03,295.1,42.3,D,3
15.5772,45.7999,308.3,1.3,1.1,2023-05-07,1908,Terra,MODIS,74,61.03,295.2,11.9,N,2
15.0389,43.1616,327.5,1,1,2023-05-08,0721,Terra,MODIS,64,61.03,304.1,13.6,D,0
12.1171,53.2788,310.7,2.1,1.4,2023-05-10,0705,Terra,MODIS,43,61.03,299.5,17.8,D,3
12.8243,44.8672,347.2,1,1,2023-05-12,1043,Aqua,MODIS,89,61.03,312.9,31.5,D,0
12.823,44.858,334,1,1,2023-05-12,1043,Aqua,MODIS,66,61.03,312.4,8.8,D,0
15.5808,45.8024,308,1,1,2023-05-12,2256,Aqua,MODIS,73,61.03,295.1,8.6,N,0
15.9471,42.9363,334.7,1,1,2023-05-13,0728,Terra,MODIS,45,61.03,312.1,14.8,D,0
15.5806,45.7953,340.3,1,1,2023-05-15,0712,Terra,MODIS,80,61.03,320.3,11,D,0
15.5793,45.8044,357,1,1,2023-05-15,0712,Terra,MODIS,97,61.03,322,45.7,D,0
14.1903,43.2102,333.1,1.1,1.1,2023-05-15,0713,Terra,MODIS,50,61.03,307,18.8,D,0
15.5818,45.8047,339.3,2.1,1.4,2023-05-18,0736,Terra,MODIS,84,61.03,320.4,35.6,D,0
12.3211,53.7327,314.6,4.7,2,2023-05-20,0721,Terra,MODIS,0,61.03,297.5,50.4,D,0
15.581,45.8048,344.7,1.1,1,2023-05-21,1030,Aqua,MODIS,86,61.03,325,18.4,D,0
15.3152,42.988,329.5,1.8,1.3,2023-05-23,0745,Terra,MODIS,20,61.03,301.3,26.9,D,0
14.5247,42.9622,317.2,1.2,1.1,2023-05-24,1057,Aqua,MODIS,67,61.03,301.3,10.9,D,3
14.3373,43.1243,334.2,1.4,1.2,2023-05-30,0737,Terra,MODIS,83,61.03,307.6,25.4,D,0
13.2517,45.4113,332.3,1.1,1,2023-06-03,0704,Terra,MODIS,61,61.03,307.8,16.9,D,0
12.9486,44.3906,328.6,1,1,2023-06-08,0712,Terra,MODIS,38,61.03,305.9,12.5,D,0
12.6606,43.4086,316.3,2.2,1.4,2023-06-16,0744,Terra,MODIS,66,61.03,300.2,28.3,D,3
12.6572,43.4284,314.8,2.2,1.4,2023-06-16,0744,Terra,MODIS,49,61.03,299.7,23.8,D,3
15.5743,45.7978,306.4,1.6,1.2,2023-06-16,1834,Terra,MODIS,60,61.03,288.8,13.9,N,2
15.5759,45.8032,339.8,1.5,1.2,2023-06-18,0727,Terra,MODIS,81,61.03,321.8,21.1,D,0
12.6583,43.4005,310.6,2.9,1.6,2023-06-29,0647,Terra,MODIS,41,61.03,298.3,25.5,D,3
14.5234,42.9664,318,1,1,2023-07-07,0718,Terra,MODIS,53,61.03,305.1,8.4,D,3
12.6511,43.4251,311,3,1.6,2023-07-11,0646,Terra,MODIS,40,61.03,298.1,29.5,D,3
14.167,48.6259,312,1.2,1.1,2023-07-30,2234,Aqua,MODIS,84,61.03,297.5,8,N,0
14.1573,48.6245,335,1.2,1.1,2023-07-30,2234,Aqua,MODIS,100,61.03,297.7,40.5,N,0
14.1558,48.6355,320,1.2,1.1,2023-07-30,2234,Aqua,MODIS,99,61.03,297.4,17,N,0
12.6549,43.4201,312.9,3,1.6,2023-08-08,0749,Terra,MODIS,56,61.03,297.8,31.7,D,3
17.0915,43.9042,328.3,1,1,2023-08-12,0715,Terra,MODIS,59,61.03,310.8,8.5,D,0
17.0902,43.9135,330.1,1,1,2023-08-12,0715,Terra,MODIS,66,61.03,310.5,10.9,D,0
13.1276,45.3469,311.9,1.1,1,2023-08-13,1846,Terra,MODIS,76,61.03,298,9.4,N,0
13.1261,45.3369,311.7,1.1,1,2023-08-13,1846,Terra,MODIS,76,61.03,298.3,9.3,N,0
14.1705,48.6293,339.4,1.1,1,2023-08-13,1846,Terra,MODIS,100,61.03,301,40.3,N,0
14.1693,48.6196,361.5,1.1,1,2023-08-13,1846,Terra,MODIS,100,61.03,302.8,92.6,N,0
12.748,44.7268,322.2,1.4,1.2,2023-08-14,1100,Aqua,MODIS,74,61.03,308,21,D,3
14.95,43.1093,334.6,1,1,2023-08-16,1046,Aqua,MODIS,57,61.03,307.6,20.6,D,0
14.9647,43.1457,334.4,1,1,2023-08-16,1046,Aqua,MODIS,54,61.03,307.2,20.3,D,0
14.9667,43.0968,336.1,1,1,2023-08-16,1046,Aqua,MODIS,63,61.03,307.7,21.9,D,0
12.6596,43.4011,317.7,2.9,1.6,2023-08-20,0748,Terra,MODIS,68,61.03,300.5,47.9,D,3
12.9061,44.7036,326.4,1,1,2023-08-24,0715,Terra,MODIS,24,61.03,301.8,11.6,D,0
12.6557,43.3964,310.7,4.2,1.9,2023-08-25,0756,Terra,MODIS,40,61.03,296.6,41.6,D,3
12.6488,43.4336,312.4,4.3,1.9,2023-08-25,0756,Terra,MODIS,54,61.03,296.9,53.6,D,3
13.4322,46.1,319,4.4,1.9,2023-09-07,1122,Aqua,MODIS,0,61.03,292.7,60.8,D,0
13.4357,46.0917,318.1,4.4,1.9,2023-09-07,1122,Aqua,MODIS,52,61.03,292.3,57.7,D,0
14.5244,42.9643,315.3,1.3,1.1,2023-09-16,1105,Aqua,MODIS,63,61.03,302.1,8.9,D,3
14.5276,42.965,318.4,1,1,2023-09-22,0720,Terra,MODIS,69,61.03,302.2,7.8,D,3
13.9839,43.3311,330,1,1,2023-09-22,0720,Terra,MODIS,28,61.03,306.6,15.7,D,0
15.8161,45.8312,306.7,1,1,2023-09-23,1851,Terra,MODIS,69,61.03,292.7,6.1,N,0
12.6259,44.1906,312.8,4.2,1.9,2023-09-26,1130,Aqua,MODIS,56,61.03,297.6,57.6,D,3
12.6084,44.0397,316.7,4.1,1.9,2023-09-26,1130,Aqua,MODIS,63,61.03,298.9,73.9,D,3
15.8252,45.8366,308.8,1.3,1.1,2023-09-27,2246,Aqua,MODIS,76,61.03,294.1,13.6,N,0
12.159,52.2522,311.8,1.1,1.1,2023-09-28,0630,Terra,MODIS,48,61.03,301.6,8.9,D,3
12.6511,43.4294,310.3,3.6,1.8,2023-10-03,0638,Terra,MODIS,30,61.03,299.3,32.7,D,3
15.2059,42.9106,329.6,1,1,2023-10-04,0718,Terra,MODIS,39,61.03,308.4,15,D,0
15.8235,45.84,305.4,1.5,1.2,2023-10-04,2244,Aqua,MODIS,64,61.03,292.1,13.8,N,0
16.993,43.2263,311.5,1.4,1.2,2023-10-09,2256,Aqua,MODIS,83,61.03,291.6,17.5,N,0
16.9871,43.2324,304,1.4,1.2,2023-10-09,2256,Aqua,MODIS,53,61.03,291.1,9.5,N,0
12.6242,54.2083,312.3,4,1.9,2023-10-12,0931,Aqua,MODIS,26,61.03,294.1,61.8,D,0
12.1907,52.1922,314.1,1.1,1,2023-10-13,1013,Aqua,MODIS,0,61.03,296.9,11.1,D,0
13.769,43.3682,332,1.2,1.1,2023-10-21,0724,Terra,MODIS,81,61.03,307,17.4,D,0
12.6532,43.4339,311.2,3.4,1.7,2023-10-24,0748,Terra,MODIS,44,61.03,299.4,34.6,D,3
12.8286,44.8712,303.2,1.5,1.2,2023-11-01,1908,Terra,MODIS,54,61.03,292.4,6.9,N,0
12.8283,44.87,324.5,1.4,1.2,2023-11-02,0722,Terra,MODIS,63,61.03,303.5,10.8,D,0
12.6561,43.405,310.9,2.9,1.6,2023-11-05,1127,Aqua,MODIS,31,61.03,298.3,30.2,D,3
12.8645,44.8757,327.9,1.2,1.1,2023-11-18,1038,Aqua,MODIS,68,61.03,302.5,12.7,D,0
12.8761,44.8853,345.2,1.2,1.1,2023-11-18,1038,Aqua,MODIS,90,61.03,302.1,49,D,0
12.8743,44.8741,382.3,1.2,1.1,2023-11-18,1038,Aqua,MODIS,100,61.03,304.2,200.5,D,0
12.8726,44.8629,327.7,1.2,1.1,2023-11-18,1038,Aqua,MODIS,68,61.03,301.9,11.1,D,0
17.3134,43.7776,322.5,1.7,1.3,2023-12-03,1112,Aqua,MODIS,63,61.03,305.8,21.2,D,0
13.2909,45.2893,319.2,1.4,1.2,2023-12-05,0649,Terra,MODIS,50,61.03,306.5,10.4,D,0
14.3798,47.3089,335.3,1,1,2023-12-14,1036,Aqua,MODIS,84,61.03,311,23.3,D,0
15.5744,45.8029,302.3,1.2,1.1,2023-12-16,1834,Terra,MODIS,48,61.03,282.5,11.2,N,0
14.2774,45.7139,322.7,1.2,1.1,2023-12-24,1058,Aqua,MODIS,57,61.03,310.3,8.3,D,0
13.0932,45.382,308.1,1,1,2023-12-26,1846,Terra,MODIS,73,61.03,293.9,7.8,N,0
13.7053,46.4852,321.9,1,1,2023-12-27,0659,Terra,MODIS,67,61.03,303.9,9.2,D,0
