latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.2079,52.1152,310.4,1,1,2024-09-11,0616,Terra,MODIS,27,61.03,298.3,6.2,D,3
12.2066,52.1243,310.8,1,1,2024-09-11,0616,Terra,MODIS,41,61.03,298.5,6.7,D,3
15.5828,45.8042,303.7,1.1,1,2024-09-16,2331,Aqua,MODIS,56,61.03,291.7,7.5,N,0
15.5738,45.8012,336.7,1,1,2024-09-28,1111,Aqua,MODIS,73,61.03,323.2,11,D,2
12.6548,43.4233,311.9,3.7,1.8,2024-09-30,0730,Terra,MODIS,52,61.03,297.4,38.7,D,3
14.5265,42.967,316.6,1,1,2024-10-04,0654,Terra,MODIS,62,61.03,302.6,7.6,D,3
13.811,46.3259,311.4,1,1,2024-10-10,1827,Terra,MODIS,81,61.03,296.1,7.8,N,0
15.2229,42.7333,325.7,1.9,1.3,2024-10-12,0720,Terra,MODIS,25,61.03,303.9,34.6,D,0
15.8181,45.8394,300.5,1.1,1.1,2024-10-13,2334,Aqua,MODIS,28,61.03,290.2,6.7,N,0
14.5287,42.9653,312.5,1.1,1,2024-10-21,0647,Terra,MODIS,44,61.03,296.3,5.6,D,3
12.6521,43.4235,312.6,3.5,1.8,2024-10-22,0728,Terra,MODIS,54,61.03,298.3,40,D,3
12.6562,43.4192,314.1,3.5,1.8,2024-10-22,0728,Terra,MODIS,45,61.03,298.6,44.3,D,3
14.5277,42.9659,313.7,1,1,2024-10-26,0651,Terra,MODIS,59,61.03,299,6.4,D,3
12.154,52.289,312.2,1,1,2024-11-04,0618,Terra,MODIS,45,61.03,301.5,7.9,D,3
12.1527,52.2981,312.1,1,1,2024-11-04,0618,Terra,MODIS,46,61.03,301.5,7.9,D,3
15.5679,45.7981,303.7,1,1,2024-11-06,1828,Terra,MODIS,56,61.03,293.2,5.5,N,2
15.5674,45.7974,300.6,1.3,1.1,2024-11-13,1813,Terra,MODIS,31,61.03,289.6,8.2,N,2
14.985,42.9261,324.1,1.2,1.1,2024-11-15,0704,Terra,MODIS,56,61.03,307.2,8.5,D,0
13.1752,45.4224,334.9,1,1,2024-11-17,0646,Terra,MODIS,82,61.03,309.2,20.6,D,0
15.562,45.7959,302.3,1.3,1.1,2024-11-21,1837,Terra,MODIS,41,61.03,291.1,7.4,N,0
14.7413,43.1122,310.8,1.8,1.3,2024-11-30,0713,Terra,MODIS,26,61.03,293.2,12.2,D,0
15.5651,45.8006,301.8,1,1,2024-12-03,1825,Terra,MODIS,44,61.03,290.9,5.7,N,0
13.5875,46.6721,319.7,1,1,2024-12-09,0640,Terra,MODIS,59,61.03,305.3,5.6,D,0
16.3811,42.9966,319.1,1,1,2024-12-16,1119,Aqua,MODIS,63,61.03,306.3,6.3,D,0
16.3797,42.9872,318.9,1,1,2024-12-16,1119,Aqua,MODIS,63,61.03,306.7,5.9,D,0
14.445,44.4196,319.5,1,1,2024-12-21,1120,Aqua,MODIS,57,61.03,304.5,7.5,D,0
13.4417,46.6848,318.1,1.2,1.1,2024-12-26,1121,Aqua,MODIS,45,61.03,302.7,6.8,D,0
